Artist,Title,Released,release_id,Date Added
The Police,Reggatta De Blanc,1980,367741,2020-03-07 11:01:36
The Alan Parsons Project,The Turn Of A Friendly Card,1981,780154,2020-03-07 11:00:45
The Alan Parsons Project,Pyramid,1978,721783,2020-03-07 10:55:22
Laura Branigan,Self Control,1984,6029951,2019-08-27 02:21:02
Billy Idol,Cyberpunk,1993,1011162,2020-03-07 11:03:03
Daft Punk,Random Access Memories,2013,4570366,2020-03-07 10:54:23
Alina Orlova,Laukinis Šuo Dingo,2018,12745081,2020-03-07 10:56:43
Pink Floyd,Animals,1977,768254,2020-03-07 10:54:50
Jean-Michel Jarre,Oxygene,2015,7597701,2020-03-07 10:56:26
Tears For Fears,The Hurting,1983,612348,2020-03-07 11:00:20
The Beatles,Abbey Road,1986,1850509,2020-03-07 10:58:29
Deep Purple,Perfect Strangers,1984,2160003,2020-03-07 10:55:38
Vangelis,Heaven And Hell,1982,1228211,2020-03-07 10:56:06
Gary Moore,Still Got The Blues,1990,3417793,2020-03-07 11:01:13
Linkin Park,Reanimation,2016,8604990,2020-03-07 10:59:37
Van Halen,Van Halen,1978,2751644,2020-03-07 10:59:16
Linkin Park,Hybrid Theory,2013,5150478,2020-03-07 11:00:00
The Beatles,Love Songs,1982,662841,2020-03-07 10:58:05
Paul McCartney,Снова В СССР,1989,9753925,2020-03-07 10:57:19
Noize MC,Hard Reboot 3.0,2016,9973637,2018-11-02 03:00:47